S.No,Epic,Test Scenario,Pre-Requisites,Type,Steps,Expected result,Actual Result,Status,Automatable,Automation,Comment
1,Payment Processing - Miscellaneous Charges,Verify Payment Processing sidebar expands and Miscellaneous Charges submenu is accessible,User logged in with Operations Manager role,Positive,"1. Click ""Payment Processing"" in sidebar","Submenu expands showing Payables, Approval, History, Miscellaneous Charges; clicking Miscellaneous Charges navigates to /payment-processing/miscellaneous-charges",,,,,
2,Payment Processing - Miscellaneous Charges,Verify Miscellaneous Charges page loads with correct heading,User on /payment-processing/miscellaneous-charges,Positive,1. Navigate to the page,"Heading ""Miscellaneous Charges"" is displayed with ""Add Miscellaneous Charge"" button",,,,,
3,Payment Processing - Miscellaneous Charges,Verify grid displays expected columns,User on Miscellaneous Charges page,Positive,1. Observe the data grid columns,"Columns shown: Txn Date, Txn ID, Agent, Amount, Payment Batch, Payment Date (plus checkbox selection column)",,,,,
4,Payment Processing - Miscellaneous Charges,Verify empty grid shows No Records Found and 0 record footer,No miscellaneous charges exist,Positive,1. Observe grid body with no data,"Grid shows ""No Records Found"", status ""No data available"", footer ""Showing all 0 records""",,,,,
5,Payment Processing - Miscellaneous Charges,Verify search box placeholder and helper text,User on Miscellaneous Charges page,Positive,1. Observe the search box,"Placeholder ""Search by agent, amount, date, txn id, status..."" and helper text about filtering the data grid are displayed",,,,,
6,Payment Processing - Miscellaneous Charges,Verify Agent filter dropdown lists All Agents and available agents,At least one agent exists,Positive,1. Open the Agent filter,"Filter shows ""All Agents"" plus the list of agents available; selecting an agent filters the grid to that agent's charges",,,,,
7,Payment Processing - Miscellaneous Charges,Verify Status filter dropdown lists All Status and statuses,At least one charge exists,Positive,1. Open the Status filter,"Filter shows ""All Status"" plus statuses; selecting a status filters the grid accordingly",,,,,
8,Payment Processing - Miscellaneous Charges,"Verify search filters grid by transaction ID, agent, amount or date",At least one charge exists,Positive,1. Type a known transaction ID in search; 2. Observe results,"Grid rows narrow to those matching the search text (agent, amount, date, txn id, status)",,,,,
9,Payment Processing - Miscellaneous Charges,Verify Add Miscellaneous Charge modal opens,User on Miscellaneous Charges page,Positive,"1. Click ""Add Miscellaneous Charge""","Modal opens with heading ""Add Miscellaneous Charge"", subtitle ""Enter the details for the new miscellaneous charge."", Close (X) button, date/agent/amount/description fields and Cancel + Save buttons",,,,,
10,Payment Processing - Miscellaneous Charges,Verify Transaction Date defaults to today's date,User opens Add modal,Positive,1. Open Add Miscellaneous Charge modal; 2. Observe Transaction Date,"Transaction Date field is pre-filled with today's date (date picker), marked required",,,,,
11,Payment Processing - Miscellaneous Charges,Verify Save is disabled when required fields are empty,User opens Add modal,Negative,"1. Open Add modal; 2. Observe Save button with empty Agent, Amount, Description","Save button is disabled until Agent, Amount and Description are all filled",,,,,
12,Payment Processing - Miscellaneous Charges,Verify Agent field is required and searchable,User opens Add modal,Negative,1. Leave Agent empty and attempt save; 2. Open Agent dropdown and type a code,"Save blocked while Agent empty; dropdown searchable by code/name (options as ""code - name"")",,,,,
13,Payment Processing - Miscellaneous Charges,Verify Amount field is required and numeric,User opens Add modal,Negative,1. Leave Amount empty or enter non-numeric text; 2. Attempt save,Save blocked while Amount empty/non-numeric; numeric amount accepted and enables Save,,,,,
14,Payment Processing - Miscellaneous Charges,Verify Description field is required,User opens Add modal,Negative,1. Leave Description empty; 2. Attempt save,Save blocked while Description empty; entering text enables Save,,,,,
15,Payment Processing - Miscellaneous Charges,Verify Save button becomes enabled when all required fields are filled,User opens Add modal,Positive,1. Select an agent; 2. Enter amount 250; 3. Enter description; 4. Observe Save,"Save button becomes enabled after Agent, Amount and Description are valid",,,,,
16,Payment Processing - Miscellaneous Charges,Verify Close (X) button closes the modal without saving,User opens Add modal with empty fields,Positive,1. Open Add modal; 2. Click Close (X),Modal closes; no record created; page remains on Miscellaneous Charges,,,,,
17,Payment Processing - Miscellaneous Charges,Verify Cancel with unsaved changes shows confirmation dialog,User opens Add modal and enters data,Negative,1. Open Add modal; 2. Fill agent/amount/description; 3. Click Cancel,"Cancel Changes dialog appears: ""Are you sure you want to cancel? All unsaved changes will be lost."" with Cancel and Keep Editing options",,,,,
18,Payment Processing - Miscellaneous Charges,Verify Keep Editing returns to the modal preserving entered values,User has unsaved changes in Add modal,Negative,"1. Fill modal fields; 2. Cancel; 3. Click ""Keep Editing""",Modal stays open with entered values intact; no data lost,,,,,
19,Payment Processing - Miscellaneous Charges,Verify confirming Cancel discards changes and closes modal,User has unsaved changes in Add modal,Negative,"1. Fill modal fields; 2. Cancel; 3. Click ""Cancel"" in confirmation",Modal closes; entered values discarded; no record created,,,,,
20,Payment Processing - Miscellaneous Charges,Verify a valid Miscellaneous Charge saves and appears in the grid,Valid test agent available,Positive,1. Open Add modal; 2. Select agent (e.g. 90058 - TestAgent0058); 3. Enter amount; 4. Enter description; 5. Save,"Modal closes; charge is saved and appears in the grid with Txn Date, Txn ID, Agent, Amount populated; Save uses the entered data",,,,,
21,Payment Processing - Miscellaneous Charges,Verify saving a charge generates a Transaction ID for the row,One charge saved,Positive,1. After saving a charge observe its grid row,Txn ID column is populated for the saved row (unique identifier per transaction),,,,,
22,Payment Processing - Miscellaneous Charges,Verify Transaction Date can be changed to a past or future date,User opens Add modal,Positive,1. Change Transaction Date via the date picker to a valid date,Transaction Date field accepts a valid manually-selected date; save uses the selected date,,,,,
23,Payment Processing - Miscellaneous Charges,Verify modal closes after successful save,User on Add modal with valid data,Positive,1. Fill valid data; 2. Save,Modal closes automatically after successful save; grid refreshes showing the new record,,,,,
24,Payment Processing - Miscellaneous Charges,Verify Process button is disabled when no rows are selected,Charges exist but none selected,Negative,1. Observe Process button without selecting any row,Process button is disabled when no grid rows are checked,,,,,
25,Payment Processing - Miscellaneous Charges,Verify Cancel (batch) button is disabled when no rows are selected,Charges exist but none selected,Negative,1. Observe batch Cancel button without selecting any row,Batch Cancel button is disabled when no grid rows are checked,,,,,
26,Payment Processing - Miscellaneous Charges,Verify Process button enables after selecting a charge row,At least one draft charge exists,Positive,1. Check the checkbox of a charge row; 2. Observe Process,Process button becomes enabled once at least one row is selected,,,,,
27,Payment Processing - Miscellaneous Charges,Verify batch Cancel enables after selecting a charge row,At least one draft charge exists,Positive,1. Check the checkbox of a charge row; 2. Observe Cancel,Batch Cancel button becomes enabled once a row is selected,,,,,
28,Payment Processing - Miscellaneous Charges,Verify select-all checkbox selects all grid rows,Multiple charges exist,Positive,1. Tick the header select-all checkbox,All charge rows become selected; batch buttons enabled,,,,,
29,Payment Processing - Miscellaneous Charges,Verify processing a selected charge populates Payment Batch and Payment Date,At least one selected charge,Positive,1. Select a charge; 2. Click Process,Charge transitions to processed state; Payment Batch and Payment Date columns populate for the processed row,,,,,
30,Payment Processing - Miscellaneous Charges,Verify batch Cancel cancels selected charges,At least one selected draft charge,Negative,1. Select charge(s); 2. Click batch Cancel; 3. Confirm,Selected charges are cancelled/removed from the active list; grid reflects the cancelled state,,,,,
31,Payment Processing - Miscellaneous Charges,Verify Process requires confirmation for processed charges,User clicks Process on a selected row,Negative,1. Select a charge; 2. Click Process,Confirmation dialog appears before processing (unsaved/batch confirmation) - user confirms or aborts,,,,,
32,Payment Processing - Miscellaneous Charges,Verify processing multiple selected charges in one batch,Multiple charges selected,Positive,1. Select 2+ charges; 2. Click Process,All selected charges processed in the batch; each row gets Payment Batch / Payment Date,,,,,
33,Payment Processing - Miscellaneous Charges,Verify grid columns can be toggled via Columns button,Charges exist in grid,Positive,1. Click Toggle columns; 2. Uncheck a column; 3. Recheck,Selected column hides and reappears; toolbar is functional when data present,,,,,
34,Payment Processing - Miscellaneous Charges,Verify Export grid data to Excel exports charge records,At least one charge exists,Positive,1. Click Export grid data to Excel,Excel file download triggered containing the charge grid data,,,,,
35,Payment Processing - Miscellaneous Charges,Verify Refresh grid data reloads the grid from server,Charges exist in grid,Positive,1. Click Refresh grid data,Grid reloads; data refreshes without page navigation; loading indicator appears then resolves,,,,,
36,Payment Processing - Miscellaneous Charges,Verify Amount column formats values as currency,At least one charge with amount exists,Positive,1. Observe Amount column in grid rows,Amount values displayed in currency format (e.g. $250.00) matching entered amount,,,,,
37,Payment Processing - Miscellaneous Charges,Verify Txn Date and Payment Date columns display dates in MM/DD/YYYY format,At least one processed charge exists,Positive,1. Observe Txn Date and Payment Date values,Dates rendered in MM/DD/YYYY format (e.g. 09/08/2026),,,,,
38,Payment Processing - Miscellaneous Charges,Verify processed charge reflects selected agent in grid,One processed charge for a known agent,Positive,1. Process a charge for test agent; 2. Observe grid Agent column,Grid Agent column shows the selected agent's name (code - name),,,,,
39,Payment Processing - Miscellaneous Charges,Verify Agent filter narrows grid to one agent's charges,Charges for two different agents exist,Positive,1. Open Agent filter; 2. Select agent A,Grid shows only charges for agent A; charges for agent B hidden,,,,,
40,Payment Processing - Miscellaneous Charges,Verify Status filter narrows grid to a status,Charges in multiple statuses exist,Positive,1. Open Status filter; 2. Select a status,Grid shows only charges with the selected status,,,,,
41,Payment Processing - Miscellaneous Charges,Verify search by amount value filters correctly,At least one charge exists,Positive,1. Type a charge amount in the search box; 2. Observe results,Grid rows narrow to charges whose amount matches the search text,,,,,
42,Payment Processing - Miscellaneous Charges,Verify miscellaneous charges flow integrates into Approval and History,At least one processed charge exists,Positive,1. Process a charge; 2. Navigate to Approval; 3. Navigate to History,Processed charge is visible in Approval (pending) and History (completed) payment-processing views; lifecycle consistent with Payment Batch / Payment Date,,,,,
43,Payment Processing - Miscellaneous Charges,Verify no data state disables select-all and batch actions,No charges exist,Negative,1. Observe grid and batch buttons with empty data,"Select-all checkbox disabled; Cancel and Process batch buttons disabled; ""No Records Found"" shown",,,,,
44,Payment Processing - Miscellaneous Charges,Verify unchecking a previously selected row disables batch buttons,"Charges exist, one row selected then deselected",Negative,1. Select a row; 2. Uncheck it; 3. Observe batch buttons,Process and Cancel buttons revert to disabled when no rows remain selected,,,,,
45,Payment Processing - Miscellaneous Charges,Verify Amount exactly 0 keeps Save disabled,User opens Add modal; agent + description filled,Negative,1. Open Add modal; 2. Fill agent and description; 3. Enter amount 0; 4. Observe Save,Save remains disabled for amount 0 - only positive amounts are accepted,,,,,
46,Payment Processing - Miscellaneous Charges,Verify negative Amount keeps Save disabled,User opens Add modal; agent + description filled,Negative,1. Fill agent and description; 2. Enter amount -50; 3. Observe Save,Save remains disabled for negative amounts,,,,,
47,Payment Processing - Miscellaneous Charges,Verify non-numeric Amount keeps Save disabled with no inline error,User opens Add modal; agent + description filled,Negative,"1. Fill agent and description; 2. Enter amount ""abc""; 3. Blur the field; 4. Observe",Save stays disabled; no per-field error text is displayed - invalid input fails silently,,,,,
48,Payment Processing - Miscellaneous Charges,Verify Amount as 0.00 keeps Save disabled,User opens Add modal; agent + description filled,Negative,1. Fill agent and description; 2. Enter amount 0.00; 3. Observe Save,Save remains disabled - zero-valued amounts not accepted,,,,,
49,Payment Processing - Miscellaneous Charges,Verify malformed Amount 1.2.3 keeps Save disabled,User opens Add modal; agent + description filled,Negative,1. Fill agent and description; 2. Enter amount 1.2.3; 3. Blur; 4. Observe,Save stays disabled for multiple-decimal malformed amounts,,,,,
50,Payment Processing - Miscellaneous Charges,Verify Amount with leading zeros/spaces is accepted,User opens Add modal; agent + description filled,Positive,"1. Fill agent and description; 2. Enter amount 00125 / "" 25 ""; 3. Observe Save",Save enables - leading zeros and surrounding spaces are tolerated by the client,,,,,
