S.No,Epic,Test Scenario,Pre-Requisites,Type,Steps,Expected result,Actual Result,Status,Automatable,Automation,Comment
1,Policy Management,Verify Policy list page loads with correct heading and subtitle,User logged in as Operations Manager,Positive,1. Navigate to /policy,"Page title is ""Policies""; heading ""Policy"" and subtitle ""Manage policy records with complete member, agent, and financial information"" are displayed",,,,,
2,Policy Management,Verify Total Policies and Active Policies summary cards display correct counts,At least one policy exists,Positive,1. Navigate to /policy; 2. Observe summary cards,"Total Policies card shows total count with ""Across all carriers""; ""Active Policies"" card shows active count with ""{pct}% of total""; both populated from server response",,,,,
3,Policy Management,Verify policy data grid displays all required columns,Policies exist in system,Positive,1. Navigate to /policy; 2. Observe grid headers,"Grid columns: Policy Information, Member, Agent, Carrier & Product, Status, Actions; footer shows ""Showing all 100 records"" or paged count",,,,,
4,Policy Management,"Verify policy grid rows show policy number, effective date, member, agent with level and code, carrier, product and status badge",Policies exist in system,Positive,1. Navigate to /policy; 2. Observe first row,"Each row shows Policy No + ""Effective: MM/DD/YYYY"", member name, agent name + ""{level} • {code}"", carrier + product, and a Status badge (Active/Lapsed/Cancelled/Expired)",,,,,
5,Policy Management,Verify search filters policies by policy number,Policies exist in system,Positive,1. Navigate to /policy; 2. Type a known policy number in search box; 3. Wait for debounce (400ms),Grid refreshes and shows only the matching policy; non-matching rows removed; results update as you type,,,,,
6,Policy Management,Verify search filters policies by member name,Policies exist in system,Positive,1. Navigate to /policy; 2. Type member name text in search box; 3. Wait for debounce,Grid shows only policies whose member name contains the search text,,,,,
7,Policy Management,Verify search filters policies by agent or carrier,Policies exist in system,Positive,1. Navigate to /policy; 2. Type agent name or carrier name in search box,Grid shows only policies matching the agent or carrier text,,,,,
8,Policy Management,Verify search with no matching results shows empty state,Policies exist in system,Negative,1. Navigate to /policy; 2. Type a random non-existent string in search box,"Grid shows ""No Records Found""; record count footer shows 0 records",,,,,
9,Policy Management,Verify Status filter narrows the grid to selected status,Policies with different statuses exist,Positive,"1. Navigate to /policy; 2. Open Status filter; 3. Select ""Active""","Every visible row's status badge is ""Active""; filter option list = All Status, Active, Lapsed, Cancelled, Expired",,,,,
10,Policy Management,Verify Line of Business filter narrows the grid to selected LOB,Policies exist across LOBs,Positive,"1. Navigate to /policy; 2. Open LOB filter; 3. Select ""ACA""","Every visible row's product line of business is ACA; options include All, ACA, Employer Group, Health, Life, Senior Products",,,,,
